Pair Number,System A,System B,BLEU Score A,BLEU p-value A,BLEU Mean A,BLEU CI A,BLEU Score B,BLEU p-value B,BLEU Mean B,BLEU CI B
1,Baseline: results/rethinking/evaluation_logs/model-save-dir-5/clean.result,results/rethinking/evaluation_logs/model-save-dir-25/clean.result,38.512926110111074,,38.50436929198643,0.5339079467856784,38.48460672807191,0.3146853146853147,38.477759935404855,0.4853375039793626
2,Baseline: results/rethinking/evaluation_logs/model-save-dir-5/clean.result,results/rethinking/evaluation_logs/model-save-dir-27/clean.result,38.512926110111074,,38.50436929198643,0.5339079467856784,38.344823253102426,0.0919080919080919,38.34330002437365,0.4925578898682623
3,Baseline: results/rethinking/evaluation_logs/model-save-dir-5/clean.result,results/rethinking/evaluation_logs/model-save-dir-7/clean.result,38.512926110111074,,38.50436929198643,0.5339079467856784,38.27443641579226,0.03896103896103896,38.265092321319884,0.5004058338012065
4,Baseline: results/rethinking/evaluation_logs/model-save-dir-5/clean.result,results/rethinking/evaluation_logs/model-save-dir-15/clean.result,38.512926110111074,,38.50436929198643,0.5339079467856784,38.47643772439564,0.3046953046953047,38.4710432782215,0.5010688572483204
5,Baseline: results/rethinking/evaluation_logs/model-save-dir-5/clean.result,results/rethinking/evaluation_logs/model-save-dir-57/clean.result,38.512926110111074,,38.50436929198643,0.5339079467856784,38.354687127182615,0.1018981018981019,38.348801588148284,0.5038409707909608
6,Baseline: results/rethinking/evaluation_logs/model-save-dir-5/clean.result,results/rethinking/evaluation_logs/model-save-dir-23/clean.result,38.512926110111074,,38.50436929198643,0.5339079467856784,38.68010579416809,0.0939060939060939,38.67236385149872,0.524798638931685
7,Baseline: results/rethinking/evaluation_logs/model-save-dir-5/clean.result,results/rethinking/evaluation_logs/model-save-dir-65/clean.result,38.512926110111074,,38.50436929198643,0.5339079467856784,38.1969605435807,0.00999000999000999,38.187347328285476,0.5039151424350976
8,Baseline: results/rethinking/evaluation_logs/model-save-dir-5/clean.result,results/rethinking/evaluation_logs/model-save-dir-21/clean.result,38.512926110111074,,38.50436929198643,0.5339079467856784,38.3727103634763,0.12287712287712288,38.36435434925997,0.5235983741743944
9,Baseline: results/rethinking/evaluation_logs/model-save-dir-5/clean.result,results/rethinking/evaluation_logs/model-save-dir-70/clean.result,38.512926110111074,,38.50436929198643,0.5339079467856784,38.39434933470167,0.13686313686313686,38.38938626651549,0.5285535462379514
10,Baseline: results/rethinking/evaluation_logs/model-save-dir-5/clean.result,results/rethinking/evaluation_logs/model-save-dir-80/clean.result,38.512926110111074,,38.50436929198643,0.5339079467856784,38.544922111967466,0.3106893106893107,38.53574572423869,0.5099429353110807
11,Baseline: results/rethinking/evaluation_logs/model-save-dir-5/clean.result,results/rethinking/evaluation_logs/model-save-dir-55/clean.result,38.512926110111074,,38.50436929198643,0.5339079467856784,38.423128461277166,0.17282717282717283,38.41868658031148,0.5146032340631912
12,Baseline: results/rethinking/evaluation_logs/model-save-dir-5/clean.result,results/rethinking/evaluation_logs/model-save-dir-11/clean.result,38.512926110111074,,38.50436929198643,0.5339079467856784,38.279079323288414,0.04495504495504495,38.27778963538787,0.5043848779169444
13,Baseline: results/rethinking/evaluation_logs/model-save-dir-5/clean.result,results/rethinking/evaluation_logs/model-save-dir-78/clean.result,38.512926110111074,,38.50436929198643,0.5339079467856784,38.30633074879096,0.056943056943056944,38.30169676970973,0.5100883728225902
14,Baseline: results/rethinking/evaluation_logs/model-save-dir-5/clean.result,results/rethinking/evaluation_logs/model-save-dir-72/clean.result,38.512926110111074,,38.50436929198643,0.5339079467856784,38.44995879134924,0.23076923076923078,38.44703014121832,0.5338150006877882
15,Baseline: results/rethinking/evaluation_logs/model-save-dir-5/clean.result,results/rethinking/evaluation_logs/model-save-dir-73/clean.result,38.512926110111074,,38.50436929198643,0.5339079467856784,38.503583285510814,0.38461538461538464,38.501213611380855,0.5156478667343656
16,Baseline: results/rethinking/evaluation_logs/model-save-dir-5/clean.result,results/rethinking/evaluation_logs/model-save-dir-64/clean.result,38.512926110111074,,38.50436929198643,0.5339079467856784,38.63846880849123,0.13386613386613386,38.62522144896257,0.499775405044236
17,Baseline: results/rethinking/evaluation_logs/model-save-dir-5/clean.result,results/rethinking/evaluation_logs/model-save-dir-66/clean.result,38.512926110111074,,38.50436929198643,0.5339079467856784,38.37222095589622,0.11988011988011989,38.36335034219857,0.49770406019917246
18,Baseline: results/rethinking/evaluation_logs/model-save-dir-5/clean.result,results/rethinking/evaluation_logs/model-save-dir-63/clean.result,38.512926110111074,,38.50436929198643,0.5339079467856784,38.35269243825444,0.0979020979020979,38.344843932009695,0.5153970334355797
19,Baseline: results/rethinking/evaluation_logs/model-save-dir-5/clean.result,results/rethinking/evaluation_logs/model-save-dir-13/clean.result,38.512926110111074,,38.50436929198643,0.5339079467856784,38.32482538551252,0.07192807192807193,38.3177590451692,0.4945667934664293
20,Baseline: results/rethinking/evaluation_logs/model-save-dir-5/clean.result,results/rethinking/evaluation_logs/model-save-dir-69/clean.result,38.512926110111074,,38.50436929198643,0.5339079467856784,38.36523390122192,0.12287712287712288,38.35620534582849,0.4874519971639337
21,Baseline: results/rethinking/evaluation_logs/model-save-dir-5/clean.result,results/rethinking/evaluation_logs/model-save-dir-39/clean.result,38.512926110111074,,38.50436929198643,0.5339079467856784,38.63612119960418,0.13786213786213786,38.636794879623515,0.5156580775980899
22,Baseline: results/rethinking/evaluation_logs/model-save-dir-5/clean.result,results/rethinking/evaluation_logs/model-save-dir-44/clean.result,38.512926110111074,,38.50436929198643,0.5339079467856784,38.34956016267201,0.0939060939060939,38.348761767856224,0.5292945012289394
23,Baseline: results/rethinking/evaluation_logs/model-save-dir-5/clean.result,results/rethinking/evaluation_logs/model-save-dir-79/clean.result,38.512926110111074,,38.50436929198643,0.5339079467856784,38.479593736704906,0.30569430569430567,38.47401604734546,0.4977395749596347
24,Baseline: results/rethinking/evaluation_logs/model-save-dir-5/clean.result,results/rethinking/evaluation_logs/model-save-dir-43/clean.result,38.512926110111074,,38.50436929198643,0.5339079467856784,38.39907108063727,0.12987012987012986,38.39140461158197,0.4989092935453705
25,Baseline: results/rethinking/evaluation_logs/model-save-dir-5/clean.result,results/rethinking/evaluation_logs/model-save-dir-40/clean.result,38.512926110111074,,38.50436929198643,0.5339079467856784,38.32556481875696,0.07692307692307693,38.315399543830644,0.4969348123197683
26,Baseline: results/rethinking/evaluation_logs/model-save-dir-5/clean.result,results/rethinking/evaluation_logs/model-save-dir-6/clean.result,38.512926110111074,,38.50436929198643,0.5339079467856784,38.39943174681148,0.15284715284715283,38.39491644052968,0.5128678589832667
27,Baseline: results/rethinking/evaluation_logs/model-save-dir-5/clean.result,results/rethinking/evaluation_logs/model-save-dir-31/clean.result,38.512926110111074,,38.50436929198643,0.5339079467856784,38.29092193285269,0.057942057942057944,38.28702715588452,0.4969471244979893
